https://www.engineerrefe.com/2019/05/protection-of-industrial-power.html, Protection of Industrial Power Systems Second Edition by T. Davies .
https://www.engineerrefe.com/2019/05/advanced-magnetic-and-optical.html," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
https://www.engineerrefe.com/2019/01/electric-machines-modeling.html," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
https://www.engineerrefe.com/2019/01/mechanical-design-of-electric.html, Mechanical Design of Electric Motors by Wei Tong easily .
https://www.engineerrefe.com/2019/01/guide-to-electric-power.html, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
https://www.engineerrefe.com/2019/01/power-management-integrated.html, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
https://www.engineerrefe.com/2019/01/electrical-engineering.html, Electrical Engineering Dictionary by Phillip A. Laplante easily .
https://www.engineerrefe.com/2019/01/electrical-installation-work.html, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
https://www.engineerrefe.com/2019/01/basic-electrical-installation.html, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
https://www.engineerrefe.com/2019/05/protection-of-industrial-power.html, Protection of Industrial Power Systems Second Edition by T. Davies .
https://www.engineerrefe.com/2019/05/advanced-magnetic-and-optical.html," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
https://www.engineerrefe.com/2019/01/electric-machines-modeling.html," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
https://www.engineerrefe.com/2019/01/mechanical-design-of-electric.html, Mechanical Design of Electric Motors by Wei Tong easily .
https://www.engineerrefe.com/2019/01/guide-to-electric-power.html, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
https://www.engineerrefe.com/2019/01/power-management-integrated.html, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
https://www.engineerrefe.com/2019/01/electrical-engineering.html, Electrical Engineering Dictionary by Phillip A. Laplante easily .
https://www.engineerrefe.com/2019/01/electrical-installation-work.html, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
https://www.engineerrefe.com/2019/01/basic-electrical-installation.html, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
https://www.engineerrefe.com/2019/05/protection-of-industrial-power.html, Protection of Industrial Power Systems Second Edition by T. Davies .
https://www.engineerrefe.com/2019/05/advanced-magnetic-and-optical.html," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
https://www.engineerrefe.com/2019/01/electric-machines-modeling.html," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
https://www.engineerrefe.com/2019/01/mechanical-design-of-electric.html, Mechanical Design of Electric Motors by Wei Tong easily .
https://www.engineerrefe.com/2019/01/guide-to-electric-power.html, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
https://www.engineerrefe.com/2019/01/power-management-integrated.html, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
https://www.engineerrefe.com/2019/01/electrical-engineering.html, Electrical Engineering Dictionary by Phillip A. Laplante easily .
https://www.engineerrefe.com/2019/01/electrical-installation-work.html, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
https://www.engineerrefe.com/2019/01/basic-electrical-installation.html, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
